0	臉上比較油的時候我都會習慣讓︽⊙＿⊙︽多停留個10秒左右，會比馬上就洗掉清潔得更乾淨一點唷	c	金花	蝶舞	洗面乳	蛋糕	石屋	洗面乳	http://uniquevera.pixnet.net/blog/post/32578815	easy
1	遊客服務中心除了可以拿地圖、納涼、放水和裝水之外，也有山藥、地瓜、地瓜蛋捲等︽⊙＿⊙︽特產伴手禮販售，櫻花季期間還有︽⊙＿⊙︽限定販售的櫻花蛋捲和櫻花酥，櫻花蛋捲一盒100元，感覺不會花很大就下手了	a	三芝	馬力	土星	帽帽	黃博	三芝	http://bajenny.pixnet.net/blog/post/31640255	easy
2	這瓶︽⊙＿⊙︽我大概聖誕節開始用, 目前用2個禮拜, 剛好都是我皮膚最疲勞狀況最不好的	b	視角	精華液	八甲	調性	香火	精華液	http://ksnancy.pixnet.net/blog/post/405460378	easy
3	在白米木屐館的隔壁，大家有去︽⊙＿⊙︽的話，一定要順道去貪小便宜吃好料，才會不枉此行啊～	c	工作者	代理	蘇澳	炒年糕	冰柱	蘇澳	http://k640640.pixnet.net/blog/post/27233228	easy
4	※墾丁大街/後壁湖/紅柴坑/墾丁民宿/墾丁飯店/︽⊙＿⊙︽小吃/墾丁景點美食相關遊記	d	小家庭	繪圖	薄紗	恆春	限定版	恆春	http://bajenny.pixnet.net/blog/post/41742487	easy
5	可是姐姐我的妝一向都是走超清淡路線的啊)))))) 哈哈哈哈 所以妳們就知道為什麼 bio︽⊙＿⊙︽ 貝德瑪會是我的好朋友  咻咻咻～兩三下就清潔溜溜	b	大坑	derma	紀念品	特技表演	素質	derma	http://iamcutiecherry.pixnet.net/blog/post/42367231	easy
6	倒是內裡的部分，直接就做成黃色菱格了，我還是要強調這︽⊙＿⊙︽的手拿包你說它設計多特別，但其實都還好，但就也是實用，內裡的蓬鬆感，同時又防震，放在裡面無論是手機還是小平板等，也都是蠻保護的，儘管說這款手拿包一開始應該就是被設定拿來裝平板的	b	篇文章	chanel	示人	聲響	歷程	chanel	http://goris.pixnet.net/blog/post/42447157	easy
7	擦化妝水前先擦這瓶cle de peau︽⊙＿⊙︽精質激活精萃後續保養品吸收差很多	a	肌膚之鑰	詩人	很扁	所長	老少咸宜	肌膚之鑰	http://rockyrocket12.pixnet.net/blog/post/388271336	easy
8	所以來到︽⊙＿⊙︽一定要吃這︽⊙＿⊙︽人必吃的早餐丹丹漢堡，看看到底有什麼過人之處	c	市佔率	薄荷精	高雄	儲值	嘉模	高雄	http://wkitty.pixnet.net/blog/post/31358304	easy
9	7/23麥德姆颱風後，聽說︽⊙＿⊙︽武的樹被颱風吹倒了，聽了心中暗自竊喜，這樣一來，那條路是不是可以恢復點平靜了，農民也不會再被那些遊客困擾了，而且這是天意呀	c	高達	總能	金城	紅腫	正品	金城	http://lifepoem.pixnet.net/blog/post/41156899	easy
10	asos。blend she long︽⊙＿⊙︽ cardigan with pocke	d	紀念堂	脾氣	茶道	line	蚊液	line	http://miihuang.pixnet.net/blog/post/112070692	easy
11	繽紛眼妝今年一定要有呀   而且mikiyo今天也是畫桃紅︽⊙＿⊙︽    很可愛	c	奶嘴	拱圈	眼線	變態	媒體	眼線	http://rockyrocket12.pixnet.net/blog/post/144386024	easy
12	這盒的訴求基本上在粉撲撲10下之內就可以完妝,這得要有多強大的︽⊙＿⊙︽力!xd 我用這盒基本上一次就可以搞定全臉～不用另外︽⊙＿⊙︽	a	遮瑕	立志	來點	內用	老王	遮瑕	http://honeyqueen2.pixnet.net/blog/post/43307968	easy
13	還沒使用於臉部肌膚，於手臂上完全推勻後，你可以看見幾乎沒有任何的粉感，就是一種水水的感覺，也因為水分夠，而且還是一種相對純淨的水，不是單純只是因為保濕夠的亮，而是更明顯是因為︽⊙＿⊙︽這次想要強調的蘊含近40%的玫瑰水的亮，這才是比較基本的粉底發光模式，不是透過珠光，也不是透過折射，而是單純透過非常的水感，創造出一種湖面的波光粼粼，進而呈現出的很水，很亮的感覺	c	玩水	配料	lancome	步伐	圓桌	lancome	http://lovelybloggers.pixnet.net/coblog/post/221983963	easy
14	精品店，裡面除了有賣一些︽⊙＿⊙︽當地的特產外，也有許多藝術品紀念品可以參觀選購	a	宜蘭	蒙奇	什錦	橡子	發票	宜蘭	http://a59407908.pixnet.net/blog/post/104050396-%7b%e5%ae%9c%e8%98%ad%7d-%e6%98%a5%e6%9a%96%e8%bf%8e%e8%b3%93%e9%81%87%e8%a6%8b%e7%b9%bd%e7%b4%9b%ef%bd%9e%ef%bc%81-%e7%a4%81%e6%ba%aa%e9%95%b7%e6%a6%ae%e9%b3%b3%e5%87%b0	easy
15	在望海亭西側海岸有一個海階，原本是在海岸邊的海蝕平台，因為陸地持續受到抬升作用而隆起，形成頂面平坦而邊坡陡直的海階地形，配合測量海階高度與珊瑚礁的碳十四定年可以估算︽⊙＿⊙︽嶼地殼隆起的速率。在接近岸邊的海域則有著名的箱網養殖區，供應許多的珍貴養殖魚類	c	好色	裝盤	琉球	肌活	畫質	琉球	http://windko0813.pixnet.net/blog/post/85570900	easy
16	︽⊙＿⊙︽火車站附近，近年來多了很多便宜實惠的商務飯店，可讓遊客自由選擇。不過，對想要再省一點的背包客來說，現在也有不錯的選擇，就是離火車站步行10分鐘內，位在林森一路267號	a	高雄	花車	愛的	鼻子	光寺	高雄	http://hy321250.pixnet.net/blog/post/31237947-%e3%80%90%e4%bd%8f%e5%ae%bf%e3%80%91%e8%83%8c%e5%8c%85%e5%ae%a2%e6%97%85%e8%a1%8c%e4%bd%8f%e5%ae%bf%e5%a5%bd%e9%81%b8%e6%93%87%ef%bc%8c%e5%96%ae%e4%ba%ba%e6%88%bf	easy
17	首先我會先選擇比較淺色系的︽⊙＿⊙︽在眼皮上打亮~營造出立體感~也會降低眼睛泡泡的感覺~	a	眼影	時期	禮遇	向日葵	專利	眼影	http://tigerdog123.pixnet.net/blog/post/42648905	easy
18	: ︽⊙＿⊙︽市九和一街36號，電話: 03-4273930，營業時間: 一至日 12:00-22:00	c	冰櫃	空氣	中壢	土味	親人	中壢	http://rabbit38844.pixnet.net/blog/post/44192281	easy
19	這個顏色我覺得非常厲害，超級純粹天真無瑕的淺粉紅色，我一直有種覺得是一種很baby的顏色，我在櫃上試畫，我自己都想揍我自己，櫃姐也想揍我...，因為好像有點太少女，但真的是一個很漂亮的粉紅色，可以說是粉紅系列中，最美的顏色，... 然後，我還是帶了這支隱藏阪，我相信它可以不只是︽⊙＿⊙︽	a	唇膏	用途	床架	石燈	榻榻米	唇膏	http://lovely.pixnet.net/blog/post/31869531	easy
20	從︽⊙＿⊙︽開到濱海公路很多次，從沒看到過黃金瀑布，這次認真看路標，果然從濱海公路轉進北34號縣道不多久，就可以看到在路邊的黃金瀑布。黃金瀑布之所以會是這樣的顏色，是因為金瓜石及︽⊙＿⊙︽產礦，礦砂沉積溪床，並有菌類附著滋生，水質飽含氧化的金屬礦石顏色，使得這裡的岩石呈現金黃色的色澤。第一次看到的我，覺得真的很特別，而且就在路邊，不需跋山涉水就可以欣賞到	d	桌墊	彈彈	總類	九份	親辜	九份	http://sweetmemory99.pixnet.net/blog/post/12706288	easy
21	這感覺真的是為了上妝推出的 !! 櫃姐的說法是妝前用蠻好用的，你可以取代斗蓬草高效水份炸彈霜，又或者是於斗蓬草高效水份炸彈霜後做一些加強，最主要是它有一種平滑感，使用完肌膚會有一種平滑的觸感，有點primer的概念，但它算是︽⊙＿⊙︽，平滑打底好，再去推隔離霜也不會起屑，感覺用起來是瓶很不錯的日間妝前保濕品	c	政權	石板路	保養品	學院	桃子	保養品	http://goris.pixnet.net/blog/post/41043193	easy
22	燙青菜，板條和一般在︽⊙＿⊙︽市吃到的比較不一樣，比較偏向客家板條，而板條也比較q	b	海綿	台北	背巾	牛肚	野菜	台北	http://maruko088.pixnet.net/blog/post/57264850	easy
23	第一次使用還想說這顏色會不會太白  結果︽⊙＿⊙︽刷起來顏色很自然  拿來打亮也很適合	a	蜜粉	小三通	木耳	風機	黑莓	蜜粉	http://rockyrocket12.pixnet.net/blog/post/400465378	easy
24	花蓮玉里的特產伴手禮，除了好吃的玉里米之外，應該就是玉里羊羹啦！陳老師說︽⊙＿⊙︽上有二間羊羹，口味都不錯，而一般旅人熟知的是這間廣盛堂羊羹	b	國家	玉里鎮	尹恩惠	塗塗	澡盆	玉里鎮	http://bajenny.pixnet.net/blog/post/41032036	easy
25	來到2f就是向日廣場花蓮︽⊙＿⊙︽，不知道是否時間來錯，比較沒有什麼店家在此營業	b	竹子	漁人碼頭	心盒	仁愛路	賴清德	漁人碼頭	http://s045488.pixnet.net/blog/post/394611512-%5b%e8%8a%b1%e8%93%ae%e6%99%af%e9%bb%9e%5d%e8%8a%b1%e8%93%ae%e8%a7%80%e5%85%89%e6%bc%81%e6%b8%af%e4%bc%91%e9%96%92%e7%a2%bc%e9%a0%ad%e2%99%a5%e4%b8%8d%e6%95%a2%e7%bd%ae%e4%bf%a1%21	easy
26	另外，來到︽⊙＿⊙︽山賞玩，若時間允許的話，可以搭乘它特有的蹦蹦火車欣賞森林之美	b	日光	太平	短片	湯底	麻吉	太平	http://zine1215.pixnet.net/blog/post/42414412	easy
27	這間秋田義大利麵經過︽⊙＿⊙︽在地的alex大叔認證過，口味和cp值都不會輸給︽⊙＿⊙︽的幾家義大利麵名店，結帳時跟老板娘小聊了一下，聽說她以前也是︽⊙＿⊙︽叉子的忠實顧客，搬到那兒吃到哪兒	d	市面上	吊扇	訂金	永和	人性	永和	http://bajenny.pixnet.net/blog/post/41677903	easy
28	現在的︽⊙＿⊙︽還保有了台灣傳統的三合院建築，門內古色古香的清幽感跟門外人來人往絡繹不絕的遊客形成強烈的對比	b	學長	鹿港	白亮	分類	泥狀	鹿港	http://takeshi0312.pixnet.net/blog/post/31879840	easy
29	清境、︽⊙＿⊙︽更是南投自己最愛的地方，大推『五里坡 villa』給大家。那是一個真的很世外桃源的好地方	a	合歡山	手指	常識	小盒子	紫菜	合歡山	http://enlife.pixnet.net/blog/post/102658801-%e5%8d%97%e6%8a%95%e6%97%85%e9%81%8a%e6%87%b6%e4%ba%ba%e5%8c%85.%e8%bb%8a%e5%9f%95.%e6%97%a5%e6%9c%88%e6%bd%ad.%e6%b8%85%e5%a2%83%e5%90%88%e6%ad%a1%e5%b1%b1.%e5%9f%94	easy
30	上星期去︽⊙＿⊙︽看電影時就有發現路旁的廣場上在施工，原以為是豪宅人行道上的公共藝術，這天前往發現原來是幾米月亮公車	a	信義威秀	獨角仙	檸檬酸	老宅	大心	信義威秀	http://dinosaurs.pixnet.net/blog/post/41720377-%e5%b9%be%e7%b1%b3%e6%9c%88%e4%ba%ae%e5%85%ac%e8%bb%8a%e3%80%90%e6%8d%b7%e9%81%8b%e5%8f%b0%e5%8c%97101-%e4%b8%96%e8%b2%bf%e7%ab%99%e3%80%91%ef%bc%88%e5%8f%b0%e5%8c%97	easy
31	今天接著，就要帶大家來到︽⊙＿⊙︽，給大家看看我們在︽⊙＿⊙︽去了哪些地方^___^	d	因應	石珍珠	異想	花蓮	背法	花蓮	http://benshee1005.pixnet.net/blog/post/194441367	easy
32	以上就是將我目前手邊的︽⊙＿⊙︽做一次性的整理，今天是七夕情人節，祝大家情人節快樂，順利接吻，然後順利做很多事 ...，但唇部就是要顧好就是了	c	關廟	私藏	護唇膏	餐會	插花	護唇膏	http://goris.pixnet.net/blog/post/42437644	easy
33	︽⊙＿⊙︽跳海，跳下去的那一刻，在海裡真的超冷，之前比賽失溫的感覺瞬間上身，讓我瞬間害怕急喘	d	白水	絲緞	根本就是	基隆	尤加利	基隆	http://k640640.pixnet.net/blog/post/59696971	easy
34	︽⊙＿⊙︽市的交通網路愈來愈發達，隨著捷運生活圈各條捷運線通車，我每次到︽⊙＿⊙︽都習慣搭乘捷運，因為不會塞車而且班次又很快速，也是國外旅客來訪時最方便使用的大眾交通工具，讓你走到那玩到那	d	冰洞	水天宮	坐月子	台北	平清盛	台北	http://viviyu.pixnet.net/blog/post/44152870	easy
35	︽⊙＿⊙︽10條路線景點行程超強懶人包，︽⊙＿⊙︽一日遊、二日遊，40幾個景點、30幾樣美食、20幾間民宿推薦	a	宜蘭	界限	金雕	熊果素	封膜	宜蘭	http://wkitty.pixnet.net/blog/post/33559397	easy
36	我覺得好像是玩部落格玩成病了！居然，明明沒帶筆電出門，還拼命一直一直尋找，就只為了尋找這個孔！可以連上網路的網路孔~沒錯！︽⊙＿⊙︽ 大淶閣提供免費的網路	a	日月潭	紀念	心靈	眉筆	兩球	日月潭	http://chiencherry.pixnet.net/blog/post/32850066	easy
37	永興小館-中午餓了，只要錯過正午時間，約一點左右來到這永興小館，從︽⊙＿⊙︽旗離開到這不用十分鐘路程，有多好吃，老饕們來說吧，總之就是超好下飯，尤其招牌的松子雞丁、豆瓣魚跟鳳梨蝦，一定要點	d	菜心	螺紋	品名	五峰	姐妹	五峰	http://naughtyangel.pixnet.net/blog/post/43641946	easy
38	choyce規劃一天來回，台北人文親子旅行，以故宮兒藝中心為起點，中午到︽⊙＿⊙︽上吃野菜，擎天岡放鬆遛小孩，下山到蘇荷兒童美術館走走，帶著豐富心靈享宴回家	b	早餐券	陽明山	觀眾	名牌	孟克	陽明山	http://choyce.pixnet.net/blog/post/59153608	easy
39	︽⊙＿⊙︽10條路線景點行程超強懶人包，︽⊙＿⊙︽一日遊、二日遊，40幾個景點、30幾樣美食、20幾間民宿推薦	a	宜蘭	機型	慢跑鞋	所長	粉條	宜蘭	http://wkitty.pixnet.net/blog/post/32704067	easy
40	有鑑於今年六月將是花蓮第一次舉辦熱氣球嘉年華活動，︽⊙＿⊙︽第三屆的熱氣球也將於同一時間展開，所以從這個月開始的旅遊大玩家專欄，帆帆貓會陸續推出<花蓮好好玩><︽⊙＿⊙︽好好玩>的主題行程規劃，有想去玩的朋友可以自行收集成懶人包喔	d	戰車	理由	共用	台東	色塊	台東	http://fanfancat.pixnet.net/blog/post/146387936	easy
41	這款︽⊙＿⊙︽是由一間眼部醫美診所所推出，訴求較不傷害眼周肌膚，含保濕性的美容液︽⊙＿⊙︽	a	睫毛膏	外包	物產	設施	阿茂	睫毛膏	http://uniquevera.pixnet.net/blog/post/30462478	easy
42	很地道的︽⊙＿⊙︽式民宿餐點，非常推薦大家有機會一定要好好體會一下這種溫暖的滋味	a	宜蘭	聲響	烏鴉	生理期	離車	宜蘭	http://difeny.pixnet.net/blog/post/42490844	easy
43	位在︽⊙＿⊙︽中華東路與小東路交叉口的平實營區，市府決定保留七公頃的中央公園並將於明年底優先開放。市府工務局局長吳宗榮表示，因長期軍管，公園林相完整，不亞於台南公園	b	榛果	東區	浴帽	化學性	母乳	東區	http://boylondon.pixnet.net/blog/post/94485750	easy
44	︽⊙＿⊙︽後安社區為了進行社區營造，請來壁畫家『蔡武龍』沿安樂一街130公尺牆面畫上彩繪	d	熟人	刺繡	親情	仁武	小便宜	仁武	http://cheng0073.pixnet.net/blog/post/5316019	easy
45	山月村對於︽⊙＿⊙︽原住民文化保存不遺餘力，村長對於每個孩子都是視如己出的勤於管教，村長分享了一段段員工的故事，深深的感受到山月村的美不只是環境，讓人感動不已的是人文關懷	c	唇線	宵夜	太魯閣	次郎	白酒	太魯閣	http://k640640.pixnet.net/blog/post/61775890	easy
46	︽⊙＿⊙︽對現今台灣人來說，往往僅止於小學春遊的記憶、中學畢旅的回憶、或是根本完全失憶了	c	費用	油花	阿里山	望台	小事	阿里山	http://sanjeff.pixnet.net/blog/post/31187659	easy
47	原訂計畫是中午吃完ㄤ咕麵+︽⊙＿⊙︽臭豆腐後去採草莓，但年假的好天氣使得草莓被掃個精光	b	酸酸	關西	夜光	地直	外罩	關西	http://estherhsiao.pixnet.net/blog/post/33165737	easy
48	~ 感覺有一點像通化夜市，不過可以從攤販上賣的東西看出︽⊙＿⊙︽人的感覺!	d	大床	缺水	冰牛奶	高雄	結伴	高雄	http://uniquevera.pixnet.net/blog/post/24413907	easy
49	實用︽⊙＿⊙︽收納。給口紅們一個家！淘寶淘到寶的24格壓克力口紅架/才台幣100	c	炸豆腐	泉源	唇膏	睡覺	沙雕	唇膏	http://goris.pixnet.net/blog/post/42330106	easy
